City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,kapaa,US,22.0752,-159.319,79.12,88,20,13.8
1,jibuti,DJ,11.5,42.5,77.68,64,4,13.71
2,lyubashivka,UA,47.8372,30.2598,55.06,78,90,14.34
3,saint-philippe,RE,-21.3585,55.7679,72.99,83,44,10.02
4,upernavik,GL,72.7868,-56.1549,29.17,79,100,4.52
5,punta arenas,CL,-53.15,-70.9167,57.31,47,0,21.85
6,rikitea,PF,-23.1203,-134.9692,72.14,81,90,13.47
7,atar,MR,20.5169,-13.0499,98.91,8,1,8.34
8,broome,US,42.2506,-75.833,65.7,59,0,6.91
9,souillac,MU,-20.5167,57.5167,73.78,83,75,6.91
10,hambantota,LK,6.1241,81.1185,79.52,77,98,15.52
11,los llanos de aridane,ES,28.6585,-17.9182,71.35,78,40,5.75
12,atuona,PF,-9.8,-139.0333,75.33,80,17,15.55
13,rabo de peixe,PT,37.8,-25.5833,65.71,92,40,10.36
14,busselton,AU,-33.65,115.3333,55.26,90,97,8.37
15,bredasdorp,ZA,-34.5322,20.0403,64.11,83,67,11.72
16,sinnamary,GF,5.3833,-52.95,87.58,65,88,13.51
17,kudahuvadhoo,MV,2.6708,72.8944,81.91,78,20,14.14
18,new norfolk,AU,-42.7826,147.0587,51.3,77,98,1.99
19,la libertad,EC,-2.2333,-80.9,71.26,83,100,11.5
20,cidreira,BR,-30.1811,-50.2056,70.36,67,45,5.59
21,victoria,HK,22.2855,114.1577,78.85,73,96,8.01
22,sao joao da barra,BR,-21.6403,-41.0511,77.36,72,94,11.61
23,norman wells,CA,65.282,-126.8329,24.84,86,75,2.3
24,carnarvon,AU,-24.8667,113.6333,69.4,64,26,18.41
25,nemuro,JP,43.3236,145.575,47.66,83,100,14.74
26,mataura,NZ,-46.1927,168.8643,50.65,96,100,7.45
27,cabo san lucas,MX,22.8909,-109.9124,88.18,52,54,8.01
28,jardim,BR,-21.4803,-56.1381,88.84,35,0,2.82
29,severo-kurilsk,RU,50.6789,156.125,37.08,98,100,7.85
30,puerto ayora,EC,-0.7393,-90.3518,75.16,89,86,8.01
31,castro,BR,-24.7911,-50.0119,75.49,51,5,7.25
32,jamestown,US,42.097,-79.2353,69.53,30,0,5.75
33,ushuaia,AR,-54.8,-68.3,53.26,32,75,29.93
34,bonavista,CA,48.6499,-53.1147,57.13,68,0,13.2
35,albany,US,42.6001,-73.9662,62.28,58,100,3.0
36,luangwa,ZM,-15.6167,30.4167,85.73,28,13,3.56
37,talas,TR,38.6908,35.5538,45.27,57,0,2.3
38,bethel,US,41.3712,-73.414,62.55,62,0,3.44
39,vaini,TO,-21.2,-175.2,71.76,78,20,10.36
40,chinsali,ZM,-10.5414,32.0816,81.28,26,93,11.43
41,cape town,ZA,-33.9258,18.4232,70.21,76,20,23.02
42,araceli,PH,10.5529,119.9913,81.0,82,99,7.27
43,balikpapan,ID,-1.2675,116.8289,79.79,83,40,8.05
44,khatanga,RU,71.9667,102.5,11.97,91,84,11.74
45,moron,AR,-34.6534,-58.6198,67.95,64,12,9.84
