City_ID,City,Lat,Lon,Max_Temp,Humidity,Wind,Clouds,Date
0,cayenne,4.9333,-52.3333,87.84,66,5.75,75,2022-10-21 12:43:59
1,kushima,31.4583,131.2333,68.76,74,4.41,98,2022-10-21 12:43:59
2,sao filipe,14.8961,-24.4956,79.16,76,4.47,56,2022-10-21 12:44:00
3,albany,42.6001,-73.9662,58.26,37,3.96,20,2022-10-21 12:44:00
4,constitucion,-35.3333,-72.4167,61.93,56,14.54,6,2022-10-21 12:44:00
5,ustye,59.6304,39.736,30.67,78,3.94,16,2022-10-21 12:44:01
6,adrar,20.5022,-10.0711,94.51,10,12.39,94,2022-10-21 12:44:01
7,punta arenas,-53.15,-70.9167,51.82,39,27.07,100,2022-10-21 12:44:01
8,jamestown,42.097,-79.2353,60.03,36,16.11,0,2022-10-21 12:41:55
9,manavalakurichi,8.1333,77.3,76.8,89,8.14,98,2022-10-21 12:44:02
10,norman wells,65.282,-126.8329,21.24,100,2.3,75,2022-10-21 12:44:02
11,kuji,40.1878,141.7689,55.45,80,6.49,0,2022-10-21 12:44:03
12,kavaratti,10.5669,72.642,81.75,76,4.27,99,2022-10-21 12:44:03
13,torbay,47.6666,-52.7314,58.87,78,11.5,75,2022-10-21 12:44:03
14,new norfolk,-42.7826,147.0587,62.1,90,1.14,100,2022-10-21 12:44:04
15,nizhniy baskunchak,48.2198,46.8311,47.34,73,15.52,99,2022-10-21 12:44:04
16,katsuura,35.1333,140.3,68.67,71,15.39,61,2022-10-21 12:44:04
17,east london,-33.0153,27.9116,70.74,78,12.66,75,2022-10-21 12:41:30
18,banda aceh,5.5577,95.3222,79.81,74,11.03,100,2022-10-21 12:44:05
19,esperance,-33.8667,121.9,57.34,76,6.26,100,2022-10-21 12:44:05
20,pisco,-13.7,-76.2167,64.02,82,9.22,75,2022-10-21 12:44:06
21,bredasdorp,-34.5322,20.0403,59.29,66,6.78,53,2022-10-21 12:44:06
22,ushuaia,-54.8,-68.3,51.42,50,25.32,75,2022-10-21 12:41:37
23,juegang,32.3174,121.1855,68.99,87,4.79,88,2022-10-21 12:44:06
